"quantile","threshold","group","size","weighted_clustering","unweighted_clustering","density","weighted_assortativity","unweighted_assortativity","size_(%)","size_ratio"
0.0,0.08105592,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.0,0.08105592,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.0,0.08105592,"2",4,0.0,0.0,0.5,0.0466166467385829,-0.5000000000000001,100,1.0
0.01,0.08202006768,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.01,0.08202006768,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.01,0.08202006768,"2",3,0.0,0.0,0.6666666666666666,-0.7734646332961084,-1.0,75,0.75
0.02,0.08298421536,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.02,0.08298421536,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.02,0.08298421536,"2",3,0.0,0.0,0.6666666666666666,-0.7734646332961084,-1.0,75,0.75
0.03,0.08394836304,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.03,0.08394836304,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.03,0.08394836304,"2",3,0.0,0.0,0.6666666666666666,-0.7734646332961084,-1.0,75,0.75
0.04,0.08491251072,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.04,0.08491251072,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.04,0.08491251072,"2",3,0.0,0.0,0.6666666666666666,-0.7734646332961084,-1.0,75,0.75
0.05,0.0858766584,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.05,0.0858766584,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.05,0.0858766584,"2",3,0.0,0.0,0.6666666666666666,-0.7734646332961084,-1.0,75,0.75
0.06,0.09462392192,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.06,0.09462392192,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.06,0.09462392192,"2",2,0.0,0.0,1.0,"","",50,0.5
0.07,0.11310008024000003,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.07,0.11310008024000003,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.07,0.11310008024000003,"2",2,0.0,0.0,1.0,"","",50,0.5
0.08,0.13157623856,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
