"source","target","weight","alpha"
"10001","10003",0.6111301,0.0038
"10001","10004",0.3076545,0.0299
"10001","10005",0.51578826,0.0903
"10002","10003",0.27695465,0.1124
"10003","10004",0.62531143,0.0001
"10005","10009",0.5306835,0.1253
"10006","10009",0.6820994,0.0634
"10006","10010",0.721094,0.0484
"10006","10011",0.5418609,0.0324
"10007","10008",0.08105592,0.0009
"10007","10014",0.086412296,0.0654
"10009","10010",0.80858207,0.0312
"10009","10011",0.34183186,0.1322
"10009","10012",0.26840472,0.0642
"10010","10011",0.3832603,0.1003
"10010","10012",0.2580966,0.0724
"10011","10012",0.20756845,0.1282
"10011","10013",0.18905762,0.0938
"10013","10014",0.193546,0.0005
